ligand,threshold
ZN,0.688
MG,0.46
CA,0.588
III,0.212
NUC,0.28
MN,0.552
ADP,0.38
PO4,0.352
SO4,0.212
ATP,0.32
FE,0.5
AMP,0.22
ANP,0.312
BGC,0.22
CO,0.58
HEM,0.42
NAD,0.428
FAD,0.416
SAH,0.388
GLC,0.296
COA,0.42
GOL,0.188
NAP,0.432
SAM,0.276
NAG,0.3
MAN,0.2
GAL,0.204
CL,0.128
CU,0.552
GDP,0.276
FMN,0.368
NDP,0.408
SF4,0.672
FE2,0.548
POP,0.288
PLP,0.408
NA,0.408
FUC,0.196
ACT,0.244
GSH,0.484
AZI,0.36
ACO,0.272
GLY,0.28
GTP,0.208
CIT,0.184
UDP,0.224
BMA,0.304
GLU,0.448
OXY,0.348
ACP,0.296
CO3,0.2
HEC,0.552
K,0.48
PYR,0.216
AGS,0.296
IOD,0.168
ADN,0.208
AKG,0.416
NAI,0.264
SIA,0.256
5GP,0.316
ARG,0.128
BCT,0.232
CD,0.544
XE,0.304
FES,0.564
FLC,0.332
LYS,0.244
GLA,0.408
ALA,0.396
GNP,0.584
ADE,0.208
CU1,0.668
CYS,0.292
SER,0.232
APC,0.292
BEF,0.392
PHE,0.412
MAL,0.144
UNL,0.22
XYP,0.392
U5P,0.252
MPD,0.108
MET,0.26
CTP,0.316
NI,0.616
HG,0.652
XYS,0.124
ALF,0.48
ASP,0.376
TRP,0.228
LEU,0.108
AF3,0.156
NO,0.252
EDO,0.276
EPE,0.168
BR,0.256
C5P,0.32
OXL,0.424
FMT,0.256
IMD,0.096
WO4,0.492
TYR,0.168
SFG,0.352
FUL,0.16
APR,0.432
PRO,0.08
HIS,0.216
SUC,0.324
CYN,0.476
O,0.464
NGA,0.284
DTP,0.388
UTP,0.304
DMU,0.076
DMS,0.06
TRE,0.08
NO3,0.196
FRU,0.188
A2G,0.088
TPP,0.428
DGT,0.396
TMP,0.068
GLN,0.348
MTA,0.32
G3P,0.456
VAL,0.144
BU3,0.02
BEZ,0.332
TYD,0.16
CBI,0.184
UPG,0.276
NCA,0.272
DAO,0.108
PLM,0.08
IHP,0.272
TTP,0.344
B12,0.064
DCP,0.364
FDA,0.316
PMP,0.496
PC,0.332
DAL,0.396
QUE,0.204
CDP,0.168
PNS,0.204
BOG,0.152
MLI,0.176
SGN,0.2
CMP,0.244
NPO,0.132
BDP,0.244
C2E,0.26
BME,0.212
NO2,0.224
MMA,0.576
LAT,0.268
PO3,0.24
UD1,0.108
RAM,0.148
MLT,0.152
SCN,0.18
ASC,0.28
CLA,0.18
NDG,0.092
ILE,0.24
CMO,0.104
URA,0.456
I3P,0.24
RBF,0.236
STL,0.132
SO3,0.32
PG4,0.08
CLR,0.088
F3S,0.372
MES,0.06
ACR,0.26
OAA,0.172
