,Ligand,Threshold,Average_ARI
0,ZN,9.0,0.9532056240739829
1,MG,11.5,0.954182085230034
2,CA,9.5,0.9421123048845391
3,III,20.5,0.9678811940852614
4,NUC,49.5,0.868
5,MN,11.5,0.8810589749886188
6,ADP,12.0,0.9944249212049998
7,PO4,13.5,0.9617916065664655
8,SO4,9.5,0.939760226974866
9,ATP,13.5,0.9898118278644045
10,FE,12.5,0.9045356450058859
11,AMP,13.0,0.9836346838000811
12,ANP,12.5,0.9986712477091921
13,BGC,13.0,0.874006325203441
14,CO,10.0,0.9391432394980515
15,HEM,11.5,0.9293801232102896
16,NAD,14.0,0.9930089473426612
17,FAD,15.0,0.9955733644238195
18,SAH,12.5,1.0
19,GLC,11.0,0.8896943077013785
20,COA,13.5,0.9758913258295477
21,GOL,10.0,0.9302777291806668
22,NAP,12.5,0.9964327900300198
23,SAM,12.0,0.9950504967857443
24,NAG,11.5,0.9077626891908194
25,MAN,13.5,0.881274959930674
26,GAL,12.0,0.976600176526822
27,CL,9.5,0.9651646912654858
28,CU,10.0,0.9309535891601486
29,GDP,12.5,0.9857808236031812
30,FMN,12.0,0.9949854722887852
31,NDP,14.5,0.9951467490651412
32,SF4,8.0,0.9790830286559372
33,FE2,9.5,0.9585274226115025
34,POP,15.5,0.9923077038449285
35,PLP,9.5,0.9989261358312573
36,NA,9.5,0.9777546006919261
37,FUC,11.5,0.983937194036693
38,ACT,10.0,0.9706656223084279
39,GSH,11.5,0.986264914559515
40,AZI,12.0,0.9700209382759656
41,ACO,13.0,0.9876151561832378
42,GLY,13.0,0.9483023824453095
43,GTP,16.5,0.9787408583885738
44,CIT,13.0,0.9869128919836303
45,UDP,12.0,1.0
46,BMA,12.0,0.9117280559733126
47,GLU,11.0,0.9906244600424334
48,OXY,10.0,0.9813146343153885
49,ACP,13.5,0.9907244677066984
50,CO3,10.5,0.9751707565428617
51,HEC,11.0,0.8680976124836884
52,K,8.5,0.9487177056532374
53,PYR,13.0,0.979294890027793
54,AGS,12.0,0.9966158062296738
55,IOD,8.5,0.8322126230768335
56,ADN,12.5,1.0
57,AKG,12.0,0.9788382790556703
58,NAI,12.5,0.9937964460072929
59,SIA,12.5,0.9769674844245866
60,5GP,12.0,0.9669182420099819
61,ARG,10.5,0.9696233294376231
62,BCT,11.0,0.9826843647565139
63,CD,8.5,0.901792746607508
64,XE,8.5,0.8355890953742277
65,FES,8.5,1.0
66,FLC,12.5,0.9752665213881653
67,LYS,12.5,0.9890011568055378
68,GLA,13.0,0.9818196380305109
69,ALA,12.0,0.9881649658092772
70,GNP,11.0,0.9978587912908329
71,ADE,9.5,1.0
72,CU1,8.5,0.9005867436509092
73,CYS,12.0,0.9793169485902319
74,SER,13.5,0.9501317543559658
75,APC,13.5,0.9839900257397657
76,BEF,11.0,1.0
77,PHE,10.0,0.9667690844544417
78,MAL,12.0,0.9721887759627043
79,UNL,12.5,0.9702698014830577
80,XYP,11.0,0.7992783482126269
81,U5P,12.0,0.9680233964839773
82,MPD,11.0,0.9492526513239403
83,MET,12.5,0.9841073103640605
84,CTP,12.5,0.9707640425134347
85,NI,7.5,0.9747673121321301
86,HG,9.0,0.9481172205442391
87,XYS,11.0,0.9157324022819106
88,ALF,10.5,0.9929165862680961
89,ASP,12.0,0.9920308317334489
90,TRP,11.5,0.9791425438662831
91,LEU,12.5,0.9674187634519865
92,AF3,10.5,1.0
93,NO,12.5,0.9636392883975128
94,EDO,9.5,0.8656678657423573
95,EPE,12.0,0.9907407407407409
96,BR,9.5,0.9145534650184545
97,C5P,10.5,1.0
98,OXL,10.0,0.98371796595662
99,FMT,12.0,0.8995450884425115
100,IMD,11.5,0.956912443533733
101,WO4,11.0,0.9867323640692446
102,TYR,12.0,0.9901329620202279
103,SFG,10.5,1.0
104,FUL,10.5,0.9904176430136247
105,APR,11.5,0.9818922387256708
106,PRO,11.5,1.0
107,HIS,12.5,0.9328254647931176
108,SUC,11.0,0.9718420574785822
109,CYN,11.5,0.9784158544192485
110,O,9.5,0.898099878046343
111,NGA,10.0,1.0
112,DTP,11.5,0.9910809450896108
113,UTP,11.0,0.9860496352371765
114,DMU,12.0,0.872632023195127
115,DMS,10.0,0.9078155691880488
116,TRE,9.5,0.9884710093036224
117,NO3,11.0,0.9615017052614678
118,FRU,10.5,0.9799891692470263
119,A2G,13.0,0.9871794871794871
120,TPP,11.0,1.0
121,DGT,12.0,1.0
122,TMP,13.0,0.995548477710247
