groups        	ID	Name
Nucleic Acids 	NUC	NUCLEIC ACIDS
peptides      	III	PEPTIDE
Metal ion     	AG	SILVER(1+)
Metal ion     	AU	GOLD(1+)
Metal ion     	BA	BARIUM(2+)
Metal ion     	CA	CALCIUM(2+)
Metal ion     	CD	CADMIUM(2+)
Metal ion     	CO	COBALT(2+)
Metal ion     	CS	CAESIUM(1+)
Metal ion     	CU	COPPER(2+)
Metal ion     	CU1	COPPER(1+)
Metal ion     	FE	IRON(3+)
Metal ion     	FE2	IRON(2+)
Metal ion     	GA	GALLIUM (III) ION
Metal ion     	HG	MERCURY(2+)
Metal ion     	K	POTASSIUM(1+)
Metal ion     	LA	LANTHANUM(3+)
Metal ion     	LI	LITHIUM(1+)
Metal ion     	MG	MAGNESIUM(2+)
Metal ion     	MN	MANGANESE(2+)
Metal ion     	MN3	MANGANESE(3+)
Metal ion     	MO	MOLYBDENUM ATOM
Metal ion     	NA	SODIUM(1+)
Metal ion     	NI	NICKEL(2+)
Metal ion     	OS	OSMIUM(3+)
Metal ion     	PB	LEAD(2+)
Metal ion     	RB	RUBIDIUM(1+)
Metal ion     	SM	SAMARIUM (III) ION
Metal ion     	SR	STRONTIUM(2+)
Metal ion     	TB	TERBIUM(3+)
Metal ion     	YB	YTTERBIUM(3+)
Metal ion     	YT3	YTTRIUM(3+)
Metal ion     	ZN	ZINC(2+)
Small molecule	010	PHENYLMETHANOL
Small molecule	03S	METHANESULFONIC ACID
Small molecule	08T	[[[(2R,3S,4R,5R)-5-(6-AMINOPURIN-9-YL)-3,4-BIS(OXIDANYL)OXOLAN-2-YL]METHOXY-OXIDANYL-PHOSPHORYL]OXY-OXIDANYL-PHOSPHORYL]OXY-TRIS(FLUORANYL)BERYLLIUM
Small molecule	0JO	2-{[(E)-{3-HYDROXY-2-METHYL-5-[(PHOSPHONOOXY)METHYL]PYRIDIN-4-YL}METHYLIDENE]AMINO}PROP-2-ENOICACID
Small molecule	0KX	DCMPNPP
Small molecule	0LA	(2S)-2-(6-CHLORO-9H-CARBAZOL-2-YL)PROPANOIC ACID
Small molecule	0LI	PONATINIB
Small molecule	0O2	GUANOSINE 5'-(TETRAHYDROGEN TRIPHOSPHATE) 3'- (TRIHYDROGEN DIPHOSPHATE)
Small molecule	0R0	2-HYDROXYBENZONITRILE;2-CYANOPHENOL
Small molecule	0V5	(2R)-2-(PHOSPHONOOXY)PROPANOIC ACID
Small molecule	11A	UNDECANOIC ACID
Small molecule	11D	11-(DANSYLAMINO)UNDECANOIC ACID
Small molecule	128	SPIRO(2,4,6-TRINITROBENZENE[1,2A]-2O',3O'-METHYLENE-ADENINE-TRIPHOSPHATE
Small molecule	12P	DODECAETHYLENE GLYCOL
Small molecule	12Q	N-METHYLCARBOSTYRIL
Small molecule	137	1-(O-CARBOXY-PHENYLAMINO)-1-DEOXY-D-RIBULOSE-5-PHOSPHATE
Small molecule	13P	1,3-DIHYDROXYACETONEPHOSPHATE
Small molecule	145	1-O-[O-NITROPHENYL]-BETA-D-GALACTOPYRANOSE
Small molecule	152	CARNITINE
Small molecule	16C	N-((E,2S,3R)-1,3-DIHYDROXYOCTADEC-4-EN-2-YL)PALMITAMIDE
Small molecule	16G	2-ACETAMIDO-2-DEOXY-6-O-PHOSPHONOHEXOPYRANOSE
Small molecule	17F	O-[(S)-({(2R)-2,3-BIS[(9Z)-OCTADEC-9- ENOYLOXY]PROPYL}OXY)(HYDROXY)PHOSPHORYL]-L-SERINE;1,2-DIOLEOYL-SN-GLYCERO-3-PHOSPHO-L-SERINE
Small molecule	1AC	1-AMINOCYCLOPROPANECARBOXYLIC ACID
Small molecule	1BO	BUTAN-1-OL
Small molecule	1CY	CYCLOGUANIL
Small molecule	1FL	5-(2,4-DIFLUOROPHENYL)-2-HYDROXY-BENZOIC ACID
Small molecule	1FZ	5'-O-[(R)-HYDROXY{[(R)-HYDROXY(PHOSPHONOOXY)PHOSPHORYL]AMINO}PHOSPHORYL]THYMIDINE
Small molecule	1GP	SN-GLYCEROL 1-PHOSPHATE
Small molecule	1KA	(2-HYDROXYETHOXY)ACETALDEHYDE
Small molecule	1KP	(3E)-6,7-DICHLORO-3-(HYDROXYIMINO)-1,3-DIHYDRO-2H-INDOL-2-ONE
Small molecule	1LQ	QUINAZOLIN-4-AMINE
Small molecule	1MZ	1-METHYL-1H-IMIDAZOLE
Small molecule	1N1	DASATINIB
Small molecule	1N7	CHAPSO;2-HYDROXY-N,N-DIMETHYL-3-SULFO-N-(3-{[(3BETA,5BETA, 7BETA,12BETA)-3,7,12-TRIHYDROXY-24-OXOCHOLAN-24- YL]AMINO}PROPYL)PROPAN-1-AMINIUM
Small molecule	1NP	1-NAPHTHOL
Small molecule	1P8	6-BROMO-1,3-DIHYDRO-2H-INDOL-2-ONE
Small molecule	1PS	3-PYRIDINIUM-1-YLPROPANE-1-SULFONATE
Small molecule	1RG	(4R,5S)-3-({(3S,5S)-5-[(3-CARBOXYPHENYL)CARBAMOYL]PYRROLIDIN-3-YL}SULFANYL)-5-[(1S,2R)-1-FORMYL-2-HYDROXYPROPYL]-4-METHYL-4,5-DIHYDRO-1H-PYRROLE-2-CARBOXYLIC ACID
Small molecule	1RY	[[(2R,5S)-5-(4-AZANYL-5-FLUORANYL-2-OXIDANYLIDENE-PYRIMIDIN-1-YL)-1,3-OXATHIOLAN-2-YL]METHOXY-OXIDANYL-PHOSPHORYL] PHOSPHONO HYDROGEN PHOSPHATE
Small molecule	1S6	(2R,4S)-5,5-DIMETHYL-2-[(1R)-1-{[(5-METHYL-3-PHENYL-1, 2-OXAZOL-4-YL)CARBONYL]AMINO}-2-OXOETHYL]-1,3- THIAZOLIDINE-4-CARBOXYLIC ACID;OXACILLIN, BOUND FORM
Small molecule	1SQ	1-AMINOISOQUINOLINE
Small molecule	1VU	PROPIONYL COENZYME A
Small molecule	210	PAMIDRONATE
Small molecule	211	TRIETHANOLAMINE
